Cat. Nr.,Common Name,Length,Recordist,Date,Time,Country,Location,Elevation,Type,Remarks,Quality,MP3 Link
XC205644,Klages's Antwren,0:57,,1996-11-18,08:30,Brazil,"Anavilhanas Archipelago, Amazonas",10,"call, song",,A,//xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/XC205644-Klage%27s%20Antwren_negro.mp3
XC352104,Klages's Antwren,0:24,,2017-01-22,07:00,Brazil,"Novo Airão, Amazonas",30,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352104-Myrmotherula%20klagesi_Novo%20Airao_1613.mp3
XC317423,Klages's Antwren,1:51,,2001-07-03,07:10,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,flooded igapó forest,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC317423-MYRKLA03.mp3
XC316961,Klages's Antwren,0:08,,2016-05-14,08:00,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC316961-Myrmotherula%20klagesi_Novo%20Airao_1072.mp3
XC206823,Klages's Antwren,0:56,,1996-11-10,10:00,Brazil,"Anavilhanas Archipelago, Amazonas",10,"call, song",ID has been discussed and resolved,B,//xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/XC206823-Black-crested%20Antshrike_RioNegro.mp3
XC205645,Klages's Antwren,0:57,,1996-11-18,08:30,Brazil,"Anavilhanas Archipelago, Amazonas",10,"call, song",,B,//xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/XC205645-Leaden%20Antwren_Negro.mp3
XC118467,Klages's Antwren,0:22,,2012-06-30,08:00,Brazil,"Novo Airao, Amazonas",20,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC118467-Myrmotherula%20klagesi_Novo%20Air%C3%A3o_1001.mp3
XC88547,Klages's Antwren,0:19,,2002-10-03,17:45,Brazil,"Rio Jauaperi, Amazonas",20,song,Igapó forest. Natural.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/MYRKLA04.mp3
XC617667,Klages's Antwren,0:05,,2020-12-26,08:00,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,[sono],C,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC617667-klages%20antwren.mp3
XC325847,Klages's Antwren,0:36,,2016-07-05,07:00,Brazil,"São Sebastião do Uatumã, Amazonas",10,song,[sono],C,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325847-Myrmotherula%20klagesi_SS%20Uatuma_1241.mp3
XC227460,Black-headed Antbird,1:10,,2006-07-22,07:30,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 100%. (Archiv. tape 393 side A track 13 seq. B),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227460-Amazonas%20Antbird%20A%208046.mp3
XC148613,Black-headed Antbird,0:49,,2013-07-13,10:00,Brazil,"Silves, Amazonas",30.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/VPCOOSQDRP/XC148613-Percnostola%20rufifrons.mp3
XC66647,Black-headed Antbird,0:45,,2004-08-05,6:24,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,song,Right bank of rio Negro. Terra firme forest.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/PERMIN02.mp3
XC40917,Black-headed Antbird,0:04,,2009-10-30,09:40,Brazil,"Vivenda Fênnix, Ramal do Urubuí, Presidente Figueiredo, Amazonas",90.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/WZSVLIHYQF/Percnostola_rufifrons_Pres_Figueiredo_AM_30_10_2009_RSS.mp3
